ID,DATE,DUR,STHOUR,SIZE,TMAC,TMAU,NAPC,NAPU,ACYC,ACYU,ACEC,ACEU,FLUC,FLUU,PHEC,PHEU,ANTC,ANTU,FLAC,FLAU,PYRC,PYRU,CHRC,CHRU,BAAC,BAAU,BBFC,BBFU,BKFC,BKFU,BAPC,BAPU,INDC,INDU,DBAC,DBAU,BPERC,BPERU
HPBG,1/7/2025,24,0,FINE,1.2633,0.0418,0.02,0,0.0333,0.0033,0.0333,0.0033,0.0833,0.0033,0.35,0.0173,0.0433,0.0133,0.1633,0.0203,0.1333,0.0186,0.0367,0.0088,0.0533,0.0088,0.0567,0.0067,0.05,0.0058,0.0367,0.0067,0.09,0.0265,0.0367,0.0033,0.0433,0.0088
HPRS,1/7/2025,24,0,FINE,2.85,0.1629,0.0267,0.0033,0.0733,0.0145,0.0533,0.0033,0.1867,0.0203,0.4133,0.0491,0.2033,0.0145,0.6367,0.0751,0.5667,0.0811,0.09,0.01,0.1133,0.0133,0.09,0.01,0.0733,0.0088,0.0467,0.0088,0.1467,0.0145,0.0733,0.0133,0.0567,0.0088
HPTR,1/7/2025,24,0,FINE,2.57,0.2152,0.0867,0.0033,0.05,0.0058,0.0533,0.0033,0.1233,0.0186,0.78,0.2101,0.09,0.0252,0.2133,0.0722,0.2333,0.0612,0.06,0.0058,0.0867,0.0088,0.18,0.0751,0.12,0.02,0.0733,0.0133,0.2333,0.0318,0.07,0.0058,0.1167,0.0167
HYBG,1/7/2025,24,0,FINE,1.0067,0.2796,0.0433,0.0033,0.02,0.0058,0.0133,0.0033,0.0367,0.0167,0.3167,0.132,0.03,0.0153,0.13,0.05,0.1167,0.0418,0.0133,0.0033,0.0267,0.012,0.0333,0.0033,0.0233,0.0033,0.0167,0.0033,0.0633,0.0033,0.0667,0.0219,0.0567,0.0033
HYRS,1/7/2025,24,0,FINE,0.95,0.0751,0.07,0.0058,0.02,0.0058,0.0167,0.0033,0.0233,0.0067,0.2867,0.0441,0.0233,0.0033,0.1033,0.0088,0.0933,0.0088,0.0233,0.0033,0.03,0.0001,0.0267,0.0033,0.02,0.0001,0.0233,0.0033,0.0767,0.012,0.0467,0.0033,0.0667,0.0267
HYTR,1/7/2025,24,0,FINE,2.7967,0.9264,0.2767,0.012,0.0367,0.012,0.03,0.0115,0.0833,0.041,0.7567,0.3491,0.0733,0.0393,0.3,0.1343,0.2667,0.1198,0.0333,0.0088,0.0733,0.0333,0.1433,0.0684,0.13,0.0603,0.1,0.0351,0.1733,0.0291,0.1633,0.0318,0.1567,0.0176
QNBG,1/7/2025,24,0,FINE,2.8614,0.295,0.02,0.0022,0.03,0.0022,0.0329,0.0018,0.0671,0.0146,0.5657,0.0453,0.0414,0.0046,0.1886,0.0349,0.1943,0.0651,0.0671,0.0068,0.09,0.0159,0.1629,0.0117,0.1557,0.0217,0.1543,0.0439,0.4357,0.0505,0.3543,0.0627,0.3014,0.0691
QNRS,1/7/2025,24,0,FINE,3.4571,0.4039,0.0286,0.0077,0.0343,0.0084,0.04,0.0102,0.0871,0.0257,0.6171,0.0695,0.0657,0.0113,0.2143,0.0352,0.2129,0.0488,0.0771,0.0081,0.1157,0.0167,0.2043,0.0327,0.1886,0.037,0.2157,0.0572,0.4471,0.0958,0.5357,0.0932,0.3729,0.0736
QNTR,1/7/2025,24,0,FINE,5.7143,0.343,0.0229,0.0029,0.0271,0.0042,0.0214,0.004,0.0671,0.0106,0.8014,0.0892,0.0857,0.0092,0.2271,0.0264,0.2186,0.0301,0.17,0.0172,0.2257,0.0232,0.4543,0.0573,0.4029,0.0413,0.4,0.0515,1.3329,0.1807,0.6743,0.0618,0.5829,0.0481
