PNO,SID,SIZE,FLUC,FLUU,PHEC,PHEU,ANTC,ANTU,PYRC,PYRU,BAAC,BAAU,CHRC,CHRU,BBFC,BBFU,BKFC,BKFU,BAPC,BAPU,INPC,INPU,DAHAC,DAHAU,BGHIPC,BGHIPU
CLRSD,COALRSD,FINE,0.064,0.0128,0.001,0.0002,0.001,0.0002,0.236,0.0472,0.045,0.009,0.074,0.0148,0.062,0.0124,0.065,0.013,0.121,0.0242,0.089,0.0178,0.137,0.0274,0.105,0.021
CLPP,COALPP,FINE,0.168,0.0336,0.061,0.0122,0.039,0.0078,0.086,0.0172,0.147,0.0294,0.162,0.0324,0.088,0.0176,0.033,0.0066,0.064,0.0128,0.062,0.0124,0.024,0.0048,0.066,0.0132
BBWOOD,BIOWOOD,FINE,0.036,0.0072,0.001,0.0002,0.001,0.0002,0.082,0.0164,0.035,0.007,0.051,0.0102,0.055,0.011,0.061,0.0122,0.401,0.0802,0.091,0.0182,0.101,0.0202,0.085,0.017
BBPDDY,BIOPADDY,FINE,0.189,0.0378,0.493,0.0986,0.085,0.017,0.091,0.0182,0.032,0.0064,0.035,0.007,0.031,0.0062,0.021,0.0042,0.011,0.0022,0.005,0.001,0.002,0.0004,0.005,0.001
TRPET,TRANSPET,FINE,0.002,0.0004,0.022,0.0044,0.006,0.0012,0.3237,0.0647,0.0579,0.0116,0.0509,0.0102,0.0709,0.0142,0.0709,0.0142,0.1469,0.0294,0.1489,0.0298,0.003,0.0006,0.0969,0.0194
TRDIE,TRANSDIE,FINE,0.1029,0.0206,0.039,0.0078,0.0609,0.0122,0.1339,0.0268,0.1209,0.0242,0.0759,0.0152,0.013,0.0026,0.002,0.0004,0.2448,0.049,0.2028,0.0406,0.002,0.0004,0.002,0.0004
TRCNG,TRANSCNG,FINE,0.232,0.0464,0.143,0.0286,0.012,0.0024,0.373,0.0746,0.066,0.0132,0.134,0.0268,0.001,0.0002,0.001,0.0002,0.001,0.0002,0.001,0.0002,0.001,0.0002,0.035,0.007
WASTE,WASTE,FINE,0.066,0.0132,0.433,0.0866,0.079,0.0158,0.173,0.0346,0.051,0.0102,0.046,0.0092,0.063,0.0126,0.013,0.0026,0.031,0.0062,0.021,0.0042,0.001,0.0002,0.023,0.0046
LPG,LPG,FINE,0.058,0.0116,0.002,0.0004,0.001,0.0002,0.293,0.0586,0.042,0.0084,0.094,0.0188,0.047,0.0094,0.068,0.0136,0.168,0.0336,0.056,0.0112,0.098,0.0196,0.073,0.0146
NRDDIE,NONRDDIE,FINE,0.172,0.0344,0.505,0.101,0.062,0.0124,0.131,0.0262,0.017,0.0034,0.027,0.0054,0.023,0.0046,0.017,0.0034,0.014,0.0028,0.014,0.0028,0.002,0.0004,0.016,0.0032
