PNO,SID,SIZE,Phe,Ant,Flt,Pyr,BaA,Chr,BbF,BkF,Bep,BaP,Ind,DahA,BghiP
CPP,CPP,FINE,0.142,0.016,0.16,0.14,0.099,0.191,0.073,0.015,0.061,0.035,0.025,0.005,0.039
CCO,CCO,FINE,0.124,0.024,0.084,0.11,0.245,0.069,0.13,0.02,0.063,0.01,0.023,0.008,0.089
CRD,CRD,FINE,0.333,0.07,0.216,0.085,0.044,0.064,0.064,0.03,0.025,0.034,0.018,0,0.016
VGS,VGS,FINE,0.035,0.004,0.078,0.098,0.075,0.149,0.114,0.078,0.078,0.075,0.018,0.013,0.184
VDI,VDI,FINE,0.165,0.022,0.176,0.305,0.049,0.134,0.039,0.036,0.035,0.018,0,0,0.022
CNG,CNG,FINE,0.002,0,0.167,0.161,0.09,0.436,0.052,0.071,0.021,0,0,0,0
BBN,BBN,FINE,0.067,0.01,0.127,0.166,0.066,0.247,0.063,0.069,0.047,0.068,0.013,0.007,0.052
CPP,CPP,COARSE,0.142,0.016,0.16,0.14,0.099,0.191,0.073,0.015,0.061,0.035,0.025,0.005,0.039
CCO,CCO,COARSE,0.124,0.024,0.084,0.11,0.245,0.069,0.13,0.02,0.063,0.01,0.023,0.008,0.089
CRD,CRD,COARSE,0.333,0.07,0.216,0.085,0.044,0.064,0.064,0.03,0.025,0.034,0.018,0,0.016
VGS,VGS,COARSE,0.035,0.004,0.078,0.098,0.075,0.149,0.114,0.078,0.078,0.075,0.018,0.013,0.184
VDI,VDI,COARSE,0.165,0.022,0.176,0.305,0.049,0.134,0.039,0.036,0.035,0.018,0,0,0.022
CNG,CNG,COARSE,0.002,0,0.167,0.161,0.09,0.436,0.052,0.071,0.021,0,0,0,0
BBN,BBN,COARSE,0.067,0.01,0.127,0.166,0.066,0.247,0.063,0.069,0.047,0.068,0.013,0.007,0.052
